Nome Completo do Arquivo, Nome do Jogo, Tamanho, CRC, MD5, SHA1
Dragon Defender (Europe).zip, Dragon Defender, 3103, CF8614CA, 62bc08fa910354d9871ded987c59f4e3, 1abc64c54c413e97da5c063188096ba3987a7492
Dragonfire (USA).zip, Dragonfire, 3310, EF2DDC83, 95af3ed28a516f954ccce52f426de7e9, 83151ab649f0c47046dd67ecba25e62f5bf4af86
Dragonstomper (USA).zip, Dragonstomper, 12310, 91796A26, 9e6be4a4bfd814d36ed347f6f898d322, fda9be917e1e0e98b206f32ba7f6deaa5a5f54e1
Dragster (USA).zip, Dragster, 1784, EF128AED, 0c64dd78c5175c90884ecaae4f18d92c, 05339d77a98957914aa4584e598af3adc801bf9e
Dukes of Hazzard (USA).zip, Dukes of Hazzard, 7761, 79A9759F, 7f0463b4930c43199e8e702013e3aaa9, 6891c119ba9078a4da6f10338d51a243fa7a4e26
Dumbo's Flying Circus (USA) (Proto).zip, Dumbo's Flying Circus, 5996, 4530A43F, 8fbb072322892eb2da74489ca1ab451e, 6613406e72e9153e068c13b7527b04e5e5bbb95a
Dune (USA) (Proto).zip, Dune, 2454, 610F3D8C, ca0dea2096320d3fe4c7728d4e195586, cc623e54184f601d8ec64dd9c3366efb11baea99
E.T. - The Extra-Terrestrial (USA).zip, E, 6110, D73E47D0, f9617292548a7eca16c05e20cc00b0ea, 0d3a24ef3f377f7e8f45451ad21ba4da43585221
Earth Dies Screaming, The (USA).zip, Earth Dies Screaming, The, 3161, 6767685E, 990d0b0fd2d1e8fabd552c33dca98204, 40f540e27acee50d6c11c435c02b7a46325573b4
Eggomania (USA).zip, Eggomania, 2997, 4BAF76B8, 3d494ca00c600a58080d41801cb2f73e, f564914b9bf84059c659ec3b06cce25e91dff86a
Elevator Action (USA) (Proto).zip, Elevator Action, 4545, FA60D139, 2f1c832930c8899fe883e50eac17c479, 215e743c9585900af4a855de24a22c89ee21228e
Elf Adventure (USA) (Proto).zip, Elf Adventure, 3037, BCBBFC69, bd7e226eb7ffba4ce465f753331efcf9, cfc2183a011fb0a18d422491e2c45a485abe05da
Eli's Ladder (USA).zip, Eli's Ladder, 2891, 0941633E, bff4c2bd370f23904fafae636db565b8, b26779d839a3a3d91725d03231f9637e307d453e
Elk Attack (USA) (Proto).zip, Elk Attack, 5094, 822CE545, f8516c8560bbd681b34e55ecbee5ba04, a76fd773bd4dd399d99d227002611bd9aaa2fb71
Encounter at L-5 (USA).zip, Encounter at L-5, 3039, A6943B55, ee465f56907615a4f2db921291a8f342, c7814188eeae678190bf1b2b20acdea712470f60
Enduro (USA).zip, Enduro, 3357, 12CB0F04, b27fd8d98e1c038d2debc1c5303c51d4, a61db4140837219c7a0b80a9c9701df4186c378e
Entity, The (USA) (Proto).zip, Entity, The, 3430, F42DE7E5, 5c842dba6ee4b698842caf2ffbed33d0, 47f35dd38094646fdbc9711218d404212aa074f0
Entombed (USA).zip, Entombed, 2867, CCDA2298, 014d506c54e78747ed05532d9ea4ddd7, df8bfd2b7b91161ae6650e8849a65ae0044559c9
Escape from the Mindmaster (USA).zip, Escape from the Mindmaster, 11112, 5FFEB183, 1c2ef34d90e37c7e7f51ec872001e14c, f16f9ec5238143347ca4bed04f4b29aca1fd7382
Espial (USA).zip, Espial, 4623, 3AFCC17E, 92ab6dd774fd38e0fb7f966035593e91, 6f8b70e43e8b6f9a9458c10d3c8293292c9080f5
Extra Terrestrials (USA).zip, Extra Terrestrials, 2090, 394F26CE, de7c0d3c176f2df8cecb3beb929b26ea, be8a58083b0e8dab9374fbbc71d53c51aeda8f61
Fantastic Voyage (USA).zip, Fantastic Voyage, 3022, 1A1379CD, 1e89d8b70b17f8b6477c78da24b36409, da8c03095875dca2a4ec4a2aba94c5820342a7bb
Farmyard Fun (USA).zip, Farmyard Fun, 3284, 7E77B426, 71945e67c88ff644fa4ea4695071b0bd, a5564eb4523b6dee3a5ebcb9d744ec7051847adf
